;Wykaz czasopism naukowych;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;archeologia;filozofia;historia;językoznawstwo;literaturoznawstwo;nauki o kulturze i religii;nauki o sztuce;architektura i urbanistyka;automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria chemiczna;inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne;nauki medyczne;nauki o kulturze fizycznej;nauki o zdrowiu;nauki leśne;rolnictwo i ogrodnictwo;technologia żywności i żywienia;weterynaria;zootechnika i rybactwo;ekonomia i finanse;geografia społeczno-ekonomiczna i gospodarka przestrzenna;nauki o bezpieczeństwie;nauki o komunikacji społecznej i mediach;nauki o polityce i administracji;nauki o zarządzaniu i jakości;nauki prawne;nauki socjologiczne;pedagogika;prawo kanoniczne;psychologia;astronomia;informatyka;matematyka;nauki biologiczne;nauki chemiczne;nauki fizyczne;nauki o Ziemi i środowisku;nauki teologiczne
Lp.;Tytuł 1;issn;e-issn;Tytuł 2;issn;e-issn;Punkty;101;102;103;104;105;106;107;201;202;203;204;205;206;207;208;209;301;302;303;304;401;402;403;404;405;501;502;503;504;505;506;507;508;509;510;511;601;602;603;604;605;606;607;701
1;2D Materials;2053-1583;2053-1583;2D Materials;;2053-1583;140;;;;;;;;x;x;;x;;x;x;x;;x;;;;;;;;;;;;;;;;;;;;;;;;x;x;;
2;3 Biotech;2190-572X;2190-5738;3 Biotech;2190-572X;2190-5738;70;;;;;;;;x;;;x;x;;;;x;x;;;x;;x;;;x;;;;;;;;;;;;;;;x;;;;
3;3C Empresa;2254-3376;2254-3376;;;;20;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;
4;3c Tecnologia;2254-4143;2254-4143;;;;20;;;;;;;;;;;x;;x;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;3C Tic;2254-6529;2254-6529;;;;20;;;;;;;;x;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;3D Printing and Additive Manufacturing;2329-7662;2329-7670;3D Printing and Additive Manufacturing;2329-7662;2329-7670;100;;;;;;;;x;x;;x;x;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;
7;3D Research;2092-6731;2092-6731;3D Research;;2092-6731;40;;;;;;;;x;x;x;x;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;3L-Language Linguistics Literature-The Southeast Asian Journal of English Language Studies;0128-5157;0128-5157;3L: Language, Linguistics, Literature;0128-5157;;70;;;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;
